"Timestamp","Gender","Age","Have you ever interacted with a social robot before?","Origami skills"," "," "," "," "," "," "," ","  ","   ","    ","     ","       ","        ","         ","          ","           "," ","  ","    ","      ","       ","","  ","    "
"2024/12/12 8:35:47 pm GMT+8","Male","18–24 years","No","Beginner","1","1","1","1","3","3","3","1","1","4","3","1","4","2","1","2","1","2","4","1","1","4","3","4"
"2024/12/12 9:34:26 pm GMT+8","Male","18–24 years","Yes","Beginner","4","3","3","4","2","3","2","2","2","3","2","3","2","2","3","3","3","3","3","3","3","4","2","2"
"2024/12/12 9:55:59 pm GMT+8","Male","18–24 years","No","Beginner","3","3","4","4","3","4","2","2","4","2","2","4","4","4","5","4","3","4","4","4","3","4","1","2"
"2024/12/16 5:37:42 pm GMT+8","Male","18–24 years","Yes","Beginner","3","2","2","2","2","1","2","2","2","2","3","5","5","5","4","5","4","4","4","4","2","5","1","1"
"2024/12/18 10:16:39 pm GMT+8","Female","35–44 years","No","Beginner","4","2","4","3","4","4","4","3","2","4","4","4","4","4","4","4","4","4","3","3","3","3","3","5"
"2024/12/18 10:47:39 pm GMT+8","Prefer not to say","25–34 years","Yes","Beginner","4","2","2","1","3","2","1","1","2","2","2","4","3","3","3","5","5","5","3","3","3","5","1","2"
"2024/12/20 10:20:40 pm GMT+8","Male","18–24 years","No","Beginner","3","2","2","2","3","3","2","1","1","2","3","4","4","3","4","4","4","4","3","4","2","4","2","2"
"2024/12/21 7:11:43 am GMT+8","Female","18–24 years","No","Beginner","3","3","2","2","2","2","3","3","3","3","3","3","3","4","3","3","3","3","3","3","3","3","2","3"
"2024/12/21 7:17:25 am GMT+8","Male","18–24 years","No","Beginner","2","1","2","1","4","4","2","4","2","3","2","4","3","3","2","4","2","3","3","2","3","4","2","3"
